ALL WORD-DIFFERENCE DISTRIBUTION
================================

word_difference: 112 | pair_count: 135 | percentage: 0.14%
word_difference: 113 | pair_count: 169 | percentage: 0.17%
word_difference: 114 | pair_count: 145 | percentage: 0.15%
word_difference: 115 | pair_count: 147 | percentage: 0.15%
word_difference: 116 | pair_count: 134 | percentage: 0.13%
word_difference: 117 | pair_count: 143 | percentage: 0.14%
word_difference: 118 | pair_count: 139 | percentage: 0.14%
word_difference: 119 | pair_count: 139 | percentage: 0.14%
word_difference: 120 | pair_count: 126 | percentage: 0.13%
word_difference: 121 | pair_count: 153 | percentage: 0.15%
word_difference: 122 | pair_count: 131 | percentage: 0.13%
word_difference: 123 | pair_count: 123 | percentage: 0.12%
word_difference: 124 | pair_count: 121 | percentage: 0.12%
word_difference: 125 | pair_count: 134 | percentage: 0.13%
word_difference: 126 | pair_count: 119 | percentage: 0.12%
word_difference: 127 | pair_count: 105 | percentage: 0.11%
word_difference: 128 | pair_count: 109 | percentage: 0.11%
word_difference: 129 | pair_count: 119 | percentage: 0.12%
word_difference: 130 | pair_count: 115 | percentage: 0.12%
word_difference: 131 | pair_count: 106 | percentage: 0.11%
word_difference: 132 | pair_count: 123 | percentage: 0.12%
word_difference: 133 | pair_count: 111 | percentage: 0.11%
word_difference: 134 | pair_count: 88 | percentage: 0.09%
word_difference: 135 | pair_count: 87 | percentage: 0.09%
word_difference: 136 | pair_count: 89 | percentage: 0.09%
word_difference: 137 | pair_count: 83 | percentage: 0.08%
word_difference: 138 | pair_count: 85 | percentage: 0.09%
word_difference: 139 | pair_count: 77 | percentage: 0.08%
word_difference: 140 | pair_count: 84 | percentage: 0.08%
word_difference: 141 | pair_count: 74 | percentage: 0.07%
word_difference: 142 | pair_count: 67 | percentage: 0.07%
word_difference: 143 | pair_count: 67 | percentage: 0.07%
word_difference: 144 | pair_count: 57 | percentage: 0.06%
word_difference: 145 | pair_count: 65 | percentage: 0.07%
word_difference: 146 | pair_count: 61 | percentage: 0.06%
word_difference: 147 | pair_count: 63 | percentage: 0.06%
word_difference: 148 | pair_count: 48 | percentage: 0.05%
word_difference: 149 | pair_count: 60 | percentage: 0.06%
word_difference: 150 | pair_count: 44 | percentage: 0.04%
word_difference: 151 | pair_count: 44 | percentage: 0.04%
word_difference: 152 | pair_count: 49 | percentage: 0.05%
word_difference: 153 | pair_count: 41 | percentage: 0.04%
word_difference: 154 | pair_count: 50 | percentage: 0.05%
word_difference: 155 | pair_count: 33 | percentage: 0.03%
word_difference: 156 | pair_count: 27 | percentage: 0.03%
word_difference: 157 | pair_count: 33 | percentage: 0.03%
word_difference: 158 | pair_count: 33 | percentage: 0.03%
word_difference: 159 | pair_count: 26 | percentage: 0.03%
word_difference: 160 | pair_count: 22 | percentage: 0.02%
word_difference: 161 | pair_count: 28 | percentage: 0.03%
word_difference: 162 | pair_count: 20 | percentage: 0.02%
word_difference: 163 | pair_count: 20 | percentage: 0.02%
word_difference: 164 | pair_count: 20 | percentage: 0.02%
word_difference: 165 | pair_count: 14 | percentage: 0.01%
word_difference: 166 | pair_count: 16 | percentage: 0.02%
word_difference: 167 | pair_count: 15 | percentage: 0.02%
word_difference: 168 | pair_count: 21 | percentage: 0.02%
word_difference: 169 | pair_count: 15 | percentage: 0.02%
word_difference: 170 | pair_count: 10 | percentage: 0.01%
word_difference: 171 | pair_count: 8 | percentage: 0.01%
word_difference: 172 | pair_count: 11 | percentage: 0.01%
word_difference: 173 | pair_count: 12 | percentage: 0.01%
word_difference: 174 | pair_count: 15 | percentage: 0.02%
word_difference: 175 | pair_count: 7 | percentage: 0.01%
word_difference: 176 | pair_count: 9 | percentage: 0.01%
word_difference: 177 | pair_count: 10 | percentage: 0.01%
word_difference: 178 | pair_count: 8 | percentage: 0.01%
word_difference: 179 | pair_count: 6 | percentage: 0.01%
